,model,rt,error,size_condition,cat_condition,rand_condition,block_type
0,0,0.7694514,0.0,s_ma,c_ma,c_ms,blocked
1,0,1.4534671,1.0,s_ma,c_ma,c_ma,blocked
2,0,0.55876386,0.0,s_ma,c_ma,c_ms,blocked
3,0,1.2361803,0.0,s_ma,c_ma,c_ms,blocked
4,0,0.8718025,1.0,s_ms,c_ma,c_ms,blocked
5,0,1.3024693,1.0,s_ms,c_ma,c_ma,blocked
6,0,0.47178417,1.0,s_ms,c_ma,c_ma,blocked
7,0,0.9217303,1.0,s_ms,c_ma,c_ms,blocked
8,0,0.75588965,0.0,s_ms,c_ma,c_ma,blocked
9,0,1.0340408,0.0,s_ma,c_ms,c_ma,blocked
10,0,0.74800676,0.0,s_ma,c_ms,c_ms,blocked
11,0,0.9690871,0.0,s_ma,c_ms,c_ms,blocked
12,0,0.9070684,0.0,s_ma,c_ms,c_ma,blocked
13,0,0.38602597,1.0,s_ma,c_ms,c_ma,blocked
14,0,0.39752805,1.0,s_ms,c_ms,c_ms,blocked
15,0,1.5676167,0.0,s_ms,c_ms,c_ma,blocked
16,0,1.0528185,1.0,s_ms,c_ms,c_ms,blocked
17,0,0.36341444,1.0,s_ms,c_ms,c_ma,blocked
18,0,0.7357485,0.0,s_ms,c_ms,c_ms,blocked
19,0,0.87842405,0.0,s_ma,c_ma,c_ms,blocked
20,0,0.08877858,1.0,s_ma,c_ma,c_ms,blocked
21,0,0.9765882,0.0,s_ma,c_ma,c_ma,blocked
22,0,0.8880696,0.0,s_ma,c_ma,c_ma,blocked
23,0,0.56503886,0.0,s_ms,c_ma,c_ma,blocked
24,0,0.7331818,1.0,s_ms,c_ma,c_ms,blocked
25,0,0.84224284,1.0,s_ms,c_ma,c_ms,blocked
26,0,1.1234916,0.0,s_ms,c_ma,c_ma,blocked
27,0,1.9945472,1.0,s_ms,c_ma,c_ms,blocked
28,0,1.5430094,1.0,s_ma,c_ms,c_ms,blocked
29,0,0.8209739,1.0,s_ma,c_ms,c_ma,blocked
30,0,0.56521857,1.0,s_ma,c_ms,c_ma,blocked
31,0,0.19234034,1.0,s_ma,c_ms,c_ms,blocked
32,0,0.33750317,0.0,s_ma,c_ms,c_ms,blocked
33,0,0.19734287,1.0,s_ms,c_ms,c_ma,blocked
34,0,0.51002985,0.0,s_ms,c_ms,c_ms,blocked
35,0,0.04047935,0.0,s_ms,c_ms,c_ma,blocked
36,0,0.55264586,0.0,s_ms,c_ms,c_ms,blocked
37,0,0.42606255,1.0,s_ms,c_ms,c_ma,blocked
38,0,1.5025772,0.0,s_ma,c_ma,c_ma,blocked
39,0,0.86035705,0.0,s_ma,c_ma,c_ms,blocked
40,0,0.72350687,0.0,s_ma,c_ma,c_ms,blocked
41,0,0.52870876,1.0,s_ma,c_ma,c_ms,blocked
42,0,0.36044443,0.0,s_ms,c_ma,c_ms,blocked
43,0,2.1392355,1.0,s_ms,c_ma,c_ma,blocked
44,0,0.2760768,0.0,s_ms,c_ma,c_ma,blocked
45,0,0.21065074,1.0,s_ms,c_ma,c_ms,blocked
46,0,0.8746129,1.0,s_ms,c_ma,c_ma,blocked
47,0,2.151943,1.0,s_ma,c_ms,c_ma,blocked
48,0,0.6234286,0.0,s_ma,c_ms,c_ms,blocked
